graph,visible_windows,alpha,beta,fit_status,fallback_used,objective,AE2,ProfileAE,signed_rho2
dev:pool-v3-panel888-20260921_dar_dev_0023,3,0.1968497413936169,1.645668320097554,flatness_unavailable,False,699.1551997195634,0.002766164016108519,0.04147483286842942,0.002766164016108519
dev:pool-v3-panel888-20260921_dar_dev_0024,3,1.3366303178929595,3.9380011909664017,flatness_unavailable,False,1782.6339580559195,0.02935003459677865,0.029911623444990307,0.02935003459677865
dev:pool-v3-panel888-20260921_dar_dev_0025,3,0.1989085605433883,1.0797384812907964,flatness_unavailable,False,3257.009134241818,0.022983593277081438,0.05631699981136654,0.022983593277081438
dev:pool-v3-panel888-20260921_dar_dev_0026,3,0.3681458073091897,1.3061970039556894,flatness_unavailable,False,1233.2626251756737,0.027668693685163226,0.05466003685236673,0.027668693685163226
dev:pool-v3-panel888-20260921_dar_dev_0027,3,0.002548756386013004,0.38691197759865914,flatness_unavailable,False,1382.2110193441388,0.0012234400602135764,0.06340808995578734,-0.0012234400602135764
dev:pool-v3-panel888-20260921_dar_dev_0028,3,0.2790170231109908,0.6452814087908235,flatness_unavailable,False,2499.3398256674773,0.043749455960533035,0.0815857343304085,0.043749455960533035
dev:pool-v3-panel888-20260921_dar_dev_0029,3,8.134837788030958e-07,0.13239838274112178,boundary_other,False,903.3621801616964,0.0007999537053252626,0.06327238605475694,0.0007999537053252626
dev:pool-v3-panel888-20260921_dar_dev_0030,3,0.6363440001429602,0.49608617794958587,flatness_unavailable,False,407.0782117444186,0.06598654729825704,0.11494545118456369,0.06598654729825704
dev:pool-v3-panel888-20260921_dar_dev_0031,3,8.069378989785157,15.153717874361487,flatness_unavailable,False,1989.1875169775158,0.00017527098416836306,0.005289536699177986,0.00017527098416836306
dev:pool-v3-panel888-20260921_dar_dev_0032,3,362975.24656570365,637024.7534342958,boundary_homogeneous,False,3002.503426660242,0.021253850968805388,0.012415620672162005,0.021253850968805388
dev:pool-v3-panel888-20260921_dar_dev_0033,3,1.012461244963591,2.0354915366147535,flatness_unavailable,False,3627.503445306871,0.0007037812314639735,0.035755420363582674,0.0007037812314639735
dev:pool-v3-panel888-20260921_dar_dev_0034,3,1.9601907798435583,3.8448453094090955,flatness_unavailable,False,1688.790136146999,0.0017681361573326226,0.01904555693680429,0.0017681361573326226
dev:pool-v3-panel888-20260921_dar_dev_0035,3,0.5056638118975326,1.0519223807545697,flatness_unavailable,False,4064.8891827882594,0.010276886162853827,0.05207023724149501,0.010276886162853827
dev:pool-v3-panel888-20260921_dar_dev_0036,3,0.19279264878184454,0.8292624712580792,flatness_unavailable,False,923.3819547892128,0.00438249116508016,0.044594160778475084,0.00438249116508016
dev:pool-v3-panel888-20260921_dar_dev_0037,3,0.3124228653493742,0.609310722314169,flatness_unavailable,False,3932.032997364338,0.008227095769212767,0.06605467750411977,0.008227095769212767
dev:pool-v3-panel888-20260921_dar_dev_0038,3,0.2989851719325726,0.7011943549029849,flatness_unavailable,False,3240.440803945182,0.01689316984795275,0.060064542529306784,0.01689316984795275
dev:pool-v3-panel888-20260921_dar_dev_0039,3,2.0038119536136998e-06,0.13486634505797576,flatness_unavailable,False,1265.2390379803687,0.0036981428387226067,0.061604864188132574,0.0036981428387226067
dev:pool-v3-panel888-20260921_dar_dev_0040,3,2.594377015300262e-05,0.17060029513152383,flatness_unavailable,False,422.5604776750679,0.01806167332565156,0.06828823751917473,0.01806167332565156
