stratum,arm,config_id,mock,source,metric,value,MCSE,draws,valid_answers,planned_answers
real,R,qwen_thinking,False,snap_email_eu,extratrees_AE2_all,0.010415539851832255,0.004254415656341409,5,15,15
real,R,qwen_thinking,False,snap_mathoverflow,extratrees_AE2_all,0.02677736593791324,0.0034110136561397216,5,15,15
real,R,qwen_thinking,False,sp_highschool2013,extratrees_AE2_all,0.03136998094676922,0.00654694946301327,5,15,15
real,R,qwen_thinking,False,sp_hospital,extratrees_AE2_all,0.03995667260495288,0.010297201427692993,5,15,15
real,R,qwen_thinking,False,copenhagen_bluetooth,extratrees_AE2_matched,0.015517022257930158,0.0017088058727580608,5,15,15
real,R,qwen_thinking,False,snap_collegemsg,extratrees_AE2_matched,0.09250265498602801,0.009206637129032533,5,15,15
real,R,qwen_thinking,False,snap_email_eu,extratrees_AE2_matched,0.010415539851832255,0.004254415656341409,5,15,15
real,R,qwen_thinking,False,snap_mathoverflow,extratrees_AE2_matched,0.02677736593791324,0.0034110136561397216,5,15,15
real,R,qwen_thinking,False,sp_highschool2013,extratrees_AE2_matched,0.03136998094676922,0.00654694946301327,5,15,15
real,R,qwen_thinking,False,sp_hospital,extratrees_AE2_matched,0.03995667260495288,0.010297201427692993,5,15,15
real,R,qwen_thinking,False,copenhagen_bluetooth,delta_AE2_vs_extratrees,-0.009675341853581624,0.002616648702693348,5,15,15
real,R,qwen_thinking,False,snap_collegemsg,delta_AE2_vs_extratrees,-0.0868218773368494,0.006854731792227106,5,15,15
real,R,qwen_thinking,False,snap_email_eu,delta_AE2_vs_extratrees,0.01491244646158079,0.008880661148674932,5,15,15
real,R,qwen_thinking,False,snap_mathoverflow,delta_AE2_vs_extratrees,-0.021620561986821364,0.004383142129177167,5,15,15
real,R,qwen_thinking,False,sp_highschool2013,delta_AE2_vs_extratrees,-0.006506724042907638,0.006149490366709071,5,15,15
real,R,qwen_thinking,False,sp_hospital,delta_AE2_vs_extratrees,0.000724142711652942,0.009137934406242955,5,15,15
real,R,qwen_thinking,False,copenhagen_bluetooth,extratrees_ProfileAE_all,0.021253290334180715,0.0011376131585034653,5,15,15
real,R,qwen_thinking,False,snap_collegemsg,extratrees_ProfileAE_all,0.04586832737769645,0.008336324459922552,5,15,15
real,R,qwen_thinking,False,snap_email_eu,extratrees_ProfileAE_all,0.021346537939638286,0.0014389021869009133,5,15,15
real,R,qwen_thinking,False,snap_mathoverflow,extratrees_ProfileAE_all,0.009240966108227411,0.0005720088357868987,5,15,15
real,R,qwen_thinking,False,sp_highschool2013,extratrees_ProfileAE_all,0.01726309088686454,0.0025693412224966562,5,15,15
real,R,qwen_thinking,False,sp_hospital,extratrees_ProfileAE_all,0.026487356332817753,0.004582185897276777,5,15,15
real,R,qwen_thinking,False,copenhagen_bluetooth,extratrees_ProfileAE_matched,0.021253290334180715,0.0011376131585034653,5,15,15
real,R,qwen_thinking,False,snap_collegemsg,extratrees_ProfileAE_matched,0.04586832737769645,0.008336324459922552,5,15,15
real,R,qwen_thinking,False,snap_email_eu,extratrees_ProfileAE_matched,0.021346537939638286,0.0014389021869009133,5,15,15
real,R,qwen_thinking,False,snap_mathoverflow,extratrees_ProfileAE_matched,0.009240966108227411,0.0005720088357868987,5,15,15
real,R,qwen_thinking,False,sp_highschool2013,extratrees_ProfileAE_matched,0.01726309088686454,0.0025693412224966562,5,15,15
real,R,qwen_thinking,False,sp_hospital,extratrees_ProfileAE_matched,0.026487356332817753,0.004582185897276777,5,15,15
real,R,qwen_thinking,False,copenhagen_bluetooth,delta_ProfileAE_vs_extratrees,-0.01632878212522122,0.0008042353612345535,5,15,15
real,R,qwen_thinking,False,snap_collegemsg,delta_ProfileAE_vs_extratrees,-0.04307248030078265,0.0073515788011389825,5,15,15
real,R,qwen_thinking,False,snap_email_eu,delta_ProfileAE_vs_extratrees,-0.002179246588376656,0.0033789766491265174,5,15,15
real,R,qwen_thinking,False,snap_mathoverflow,delta_ProfileAE_vs_extratrees,-0.006821056956222847,0.0011008242171504962,5,15,15
real,R,qwen_thinking,False,sp_highschool2013,delta_ProfileAE_vs_extratrees,-0.0005794612890646101,0.0028898010275386662,5,15,15
real,R,qwen_thinking,False,sp_hospital,delta_ProfileAE_vs_extratrees,0.0016782517513742852,0.003638229173548182,5,15,15
real,R,qwen_thinking,False,copenhagen_bluetooth,median_AE2_all,0.1567993430755243,2.7755575615628914e-17,5,15,15
real,R,qwen_thinking,False,snap_collegemsg,median_AE2_all,0.3157949930747082,1.850371707708594e-17,5,15,15
real,R,qwen_thinking,False,snap_email_eu,median_AE2_all,0.21560074628952602,1.850371707708594e-17,5,15,15
real,R,qwen_thinking,False,snap_mathoverflow,median_AE2_all,0.334460623227364,3.700743415417188e-17,5,15,15
real,R,qwen_thinking,False,sp_highschool2013,median_AE2_all,0.19543570347008538,3.700743415417188e-17,5,15,15
