stratum,budget,h,method,graphs,n_evaluable,MAE2,MAE2_se,ProfileMAE,signed_rho2,fallback_count,fallback_rate,valid_profile_rate,n_planned,validity
surrogate,0.1,0.6,shared_mle,8,24,0.06606234630286698,0.016567179021991115,0.060785290757313495,0.030981485145375708,1,0.041666666666666664,,,
surrogate,0.1,0.6,extratrees,8,24,0.06980110614433338,0.0203632595584655,0.07858499604501565,-0.06432070191609765,,,1.0,,
surrogate,0.1,0.6,qwen_thinking,8,72,0.15543136608777325,0.02503120495473346,0.16912033994345443,0.024841109531091254,,,,72,1.0
surrogate,0.1,0.6,qwen_nonthinking,8,72,0.322889755745157,0.08017234796093237,0.25063344503137464,-0.2608430276004713,,,,72,1.0
surrogate,0.1,0.6,mechanism_aware_reference,8,24,0.12569334113791558,0.0362852909995259,0.10511747944497982,0.12059195298777248,,,,,
surrogate,0.2,0.4,plugin,8,22,0.19611104263987117,0.05771029726945519,0.25131911228610326,-0.19611104263987117,,,,,
surrogate,0.2,0.4,shared_mle,8,22,0.13696685610141307,0.03206837259619676,0.11113497903022446,0.08865926057831938,0,0.0,,,
surrogate,0.2,0.4,extratrees,8,22,0.09865918804099477,0.045658068825096626,0.09206179623916017,-0.0783258965468617,,,1.0,,
surrogate,0.2,0.4,mechanism_aware_reference,8,22,0.1696168652732944,0.0456964069621971,0.14534623400630753,0.1377906325566247,,,,,
surrogate,0.2,0.6,plugin,8,24,0.10104299610660367,0.030341643159288525,0.1740447439626267,-0.10104299610660367,,,,,
surrogate,0.2,0.6,shared_mle,8,24,0.07216175810215739,0.02242381169086059,0.06294098643472229,0.03739242267416897,3,0.125,,,
surrogate,0.2,0.6,extratrees,8,24,0.06890371694561595,0.018693934870254357,0.07961058142066905,-0.065171443863458,,,1.0,,
surrogate,0.2,0.6,qwen_thinking,8,72,0.18093793972170522,0.028737894997540894,0.16833265630543298,0.04054973486707472,,,,72,1.0
surrogate,0.2,0.6,qwen_nonthinking,8,72,0.3513019870249351,0.05988197851887448,0.25472500105877477,-0.2353840461185268,,,,72,1.0
surrogate,0.2,0.6,mechanism_aware_reference,8,24,0.12514599314470776,0.0368358439425133,0.10397857968528487,0.12269613562162088,,,,,
surrogate,0.3,0.4,plugin,8,20,0.19583994827319462,0.05770668879374601,0.2512513386944341,-0.19583994827319462,,,,,
surrogate,0.3,0.4,shared_mle,8,20,0.1548464011749029,0.03692187059967412,0.11960275206840362,0.08674895267407143,0,0.0,,,
