source_family,arm,method,graphs,n_evaluable,MAE2,MAE2_se,ProfileMAE,signed_rho2,fallback_count,fallback_rate,valid_profile_rate,n_planned,validity
sp_highschool2013,S1,qwen_thinking,1,9,0.013169571826897368,nan,0.009451348888506933,-0.0011904932584698652,,,,0,
sp_highschool2013,S1,qwen_nonthinking,1,9,0.4114046178526412,nan,0.37894705416141483,0.4114046178526412,,,,0,
sp_highschool2013,H,plugin,1,3,0.11652998943290237,nan,0.11090523826813468,-0.11652998943290237,,,,,
sp_highschool2013,H,shared_mle,1,3,0.008281942133743392,nan,0.008419758201349568,0.004340599683705981,0,0.0,,,
sp_highschool2013,H,extratrees,1,3,0.030505228725514144,nan,0.03617256047450499,-0.030505228725514144,,,1.0,,
sp_highschool2013,H,qwen_thinking,1,9,0.23033856097933614,nan,0.15313984330239486,0.11420628451930787,,,,0,
sp_highschool2013,H,qwen_nonthinking,1,9,0.1907429051602307,nan,0.0966005882128261,-0.15000649325846988,,,,0,
sp_highschool2013,B,plugin,1,3,0.2266574399793717,nan,0.13239853354009143,-0.2266574399793717,,,,,
sp_highschool2013,B,shared_mle,1,3,0.10232481002637539,nan,0.07991317971219687,-0.10232481002637539,0,0.0,,,
sp_highschool2013,B,extratrees,1,3,0.07953066589759201,nan,0.04557379736029191,-0.07953066589759201,,,1.0,,
sp_highschool2013,B,qwen_thinking,1,9,0.21906759352201977,nan,0.1293967989954547,-0.14474804881402545,,,,0,
sp_highschool2013,B,qwen_nonthinking,1,9,0.42032684007486343,nan,0.40884427638363696,0.42032684007486343,,,,0,
sp_hospital,R,plugin,1,3,0.07778894763091425,nan,0.050943847311274874,-0.035916145442045334,,,,,
sp_hospital,R,shared_mle,1,3,0.0833239636121705,nan,0.05034229070413589,-0.039665725172690326,0,0.0,,,
sp_hospital,R,extratrees,1,3,0.06769506124376078,nan,0.04406882241231097,-0.025630962810744524,,,1.0,,
sp_hospital,R,qwen_thinking,1,9,0.023267120671154037,nan,0.02641883913764511,-0.012036860208760115,,,,0,
sp_hospital,R,qwen_nonthinking,1,9,0.4096504731245732,nan,0.35072024680518976,0.4096504731245732,,,,0,
sp_hospital,S1,plugin,1,3,0.0999588149010001,nan,0.05915216197625445,0.0999588149010001,,,,,
sp_hospital,S1,shared_mle,1,3,0.10675454025416921,nan,0.0579807233293824,0.10675454025416921,0,0.0,,,
sp_hospital,S1,extratrees,1,3,0.07252993057067623,nan,0.04392768316899368,0.07252993057067623,,,1.0,,
sp_hospital,S1,qwen_thinking,1,9,0.08488725089864732,nan,0.05194014847239376,0.08488725089864732,,,,0,
sp_hospital,S1,qwen_nonthinking,1,9,0.42993936201346217,nan,0.3820867695834553,0.42993936201346217,,,,0,
sp_hospital,H,plugin,1,3,0.06868371570075622,nan,0.04619076728848146,-0.06868371570075622,,,,,
sp_hospital,H,shared_mle,1,3,0.09574989128139542,nan,0.07211247555654222,0.09574989128139542,0,0.0,,,
sp_hospital,H,extratrees,1,3,0.04950359271321838,nan,0.05363160297917672,0.04950359271321838,,,1.0,,
sp_hospital,H,qwen_thinking,1,9,0.19386735442884595,nan,0.10146853374227637,0.057314442469017686,,,,0,
sp_hospital,H,qwen_nonthinking,1,9,0.1430120963808409,nan,0.11826504731245732,0.12187269534679546,,,,0,
sp_hospital,B,plugin,1,3,0.2861876758053128,nan,0.1239317962682629,-0.2861876758053128,,,,,
sp_hospital,B,shared_mle,1,3,0.1053433903987332,nan,0.05909690627420385,-0.1053433903987332,0,0.0,,,
sp_hospital,B,extratrees,1,3,0.0622314212135226,nan,0.08235367980929346,0.0622314212135226,,,1.0,,
sp_hospital,B,qwen_thinking,1,9,0.2553237581406692,nan,0.114050002843625,-0.2087136713198712,,,,0,
sp_hospital,B,qwen_nonthinking,1,9,0.47605756511559844,nan,0.42160767486098916,0.17932825090235097,,,,0,
sp_workplace,R,plugin,1,3,0.026203578988575744,nan,0.014008051830938797,0.0032234211574723726,,,,,
sp_workplace,R,shared_mle,1,3,0.040984436499974096,nan,0.016977480035520173,0.040984436499974096,0,0.0,,,
sp_workplace,R,extratrees,1,3,0.03140775518158234,nan,0.022515881004928056,0.023631285415361525,,,1.0,,
sp_workplace,R,qwen_thinking,1,9,0.02423845645505122,nan,0.015319242655851923,-0.02423845645505122,,,,0,
sp_workplace,R,qwen_nonthinking,1,9,0.38320698798939323,nan,0.22651068476056777,0.38320698798939323,,,,0,
sp_workplace,S1,plugin,1,3,0.023613137492868714,nan,0.00811004125893036,0.023613137492868714,,,,,
sp_workplace,S1,shared_mle,1,3,0.03868755916773851,nan,0.015498487181583344,0.03868755916773851,0,0.0,,,
sp_workplace,S1,extratrees,1,3,0.0484273266857276,nan,0.02832433427602971,0.0484273266857276,,,1.0,,
sp_workplace,S1,qwen_thinking,1,9,0.0059512342328289745,nan,0.012680822882545621,-0.0059512342328289745,,,,0,
sp_workplace,S1,qwen_nonthinking,1,9,0.40876254354494873,nan,0.27700553735766653,0.40876254354494873,,,,0,
sp_workplace,H,plugin,1,3,0.08769899695389581,nan,0.06322095887815575,-0.08769899695389581,,,,,
sp_workplace,H,shared_mle,1,3,0.0611922705334901,nan,0.03767503633837952,0.0611922705334901,0,0.0,,,
sp_workplace,H,extratrees,1,3,0.03012574575020573,nan,0.015685766111147987,0.03012574575020573,,,1.0,,
sp_workplace,H,qwen_thinking,1,9,0.17844391278797708,nan,0.10473387244126194,0.05665548928138289,,,,0,
sp_workplace,H,qwen_nonthinking,1,9,0.3111813029688556,nan,0.13545988665314823,-0.1401263453439401,,,,0,
sp_workplace,B,plugin,1,3,0.14587968555974026,nan,0.06983803878147644,-0.14587968555974026,,,,,
sp_workplace,B,shared_mle,1,3,0.039328270159639384,nan,0.03134347425515554,-0.039328270159639384,0,0.0,,,
