stratum,budget,arm,method,graphs,n_evaluable,MAE2,MAE2_se,ProfileMAE,signed_rho2,fallback_count,fallback_rate,valid_profile_rate,n_planned,validity
surrogate,0.025,S1,qwen_nonthinking,8,72,0.29595629389123546,0.036108867800211025,0.2617217854981832,0.14976734277036208,,,,72,1.0
surrogate,0.025,H,plugin,8,24,0.09853398304094871,0.02979149844376629,0.17283527256086756,-0.09793712214419409,,,,,
surrogate,0.025,H,shared_mle,8,24,0.06542921040113041,0.015764068432895274,0.06162232826230102,0.03493162851770788,1,0.041666666666666664,,,
surrogate,0.025,H,extratrees,8,24,0.06686259027033464,0.017451712984500177,0.07849451652441522,-0.06356450356275914,,,1.0,,
surrogate,0.025,H,qwen_thinking,8,72,0.17814220398026415,0.022510239574960803,0.1867626983763204,-0.00148236141979813,,,,72,1.0
surrogate,0.025,H,qwen_nonthinking,8,72,0.3082996563995647,0.07186595409762585,0.24543272040420455,-0.21026043500741565,,,,72,1.0
surrogate,0.025,B,plugin,8,24,0.4357497106915823,0.0707782999892071,0.30235119701003066,-0.4357497106915823,,,,,
surrogate,0.025,B,shared_mle,8,24,0.15020007278869382,0.04277799674320425,0.14999701684954314,-0.029359339352923574,4,0.16666666666666666,,,
surrogate,0.025,B,extratrees,8,24,0.10663063089291004,0.03508629153189659,0.11056514479548832,0.011610698241386873,,,1.0,,
surrogate,0.025,B,qwen_thinking,8,72,0.41204907697152016,0.033950337960996814,0.31670848707386,-0.25322412249651444,,,,72,1.0
surrogate,0.025,B,qwen_nonthinking,8,72,0.28889642335470767,0.05365543803175508,0.256714869805943,0.06879928721480652,,,,72,1.0
surrogate,0.05,R,plugin,8,24,0.016911806987329865,0.004270849817780387,0.01605056204430294,0.006288591547461547,,,,,
surrogate,0.05,R,shared_mle,8,24,0.032736894876601356,0.009299199758481405,0.02799245936500163,0.030460059549300925,0,0.0,,,
surrogate,0.05,R,extratrees,8,24,0.027733970665758036,0.0066344707761213295,0.03149192729403904,-0.015699743349330192,,,0.75,,
surrogate,0.05,R,qwen_thinking,8,72,0.02453418580111579,0.006812548028421362,0.02281099089944296,-0.00041159104632154057,,,,72,1.0
surrogate,0.05,R,qwen_nonthinking,8,72,0.23642111228396645,0.03758988958411316,0.20698836864451137,0.20165393999258427,,,,72,1.0
surrogate,0.05,S1,plugin,8,24,0.06107163188386974,0.02519976763818117,0.04776590309335291,0.053119247020418495,,,,,
surrogate,0.05,S1,shared_mle,8,24,0.10264645669033753,0.03830369397700892,0.07023084252633277,0.1023311565751906,4,0.16666666666666666,,,
surrogate,0.05,S1,extratrees,8,24,0.05081466502954264,0.022036774159925523,0.042455001969867685,0.02504148677728281,,,1.0,,
surrogate,0.05,S1,qwen_thinking,8,72,0.06694926775622997,0.024455326818266104,0.05623539259943202,0.06594769431341763,,,,72,1.0
surrogate,0.05,S1,qwen_nonthinking,8,72,0.30251241582484917,0.05235035917364879,0.2501317234800764,0.24954095388147318,,,,72,1.0
surrogate,0.05,H,plugin,8,24,0.10940672512360074,0.029955642909104678,0.17686764821872808,-0.10691323075126527,,,,,
surrogate,0.05,H,shared_mle,8,24,0.0737280440886495,0.022346620425478466,0.06863972350952945,0.03055971564180083,2,0.08333333333333333,,,
surrogate,0.05,H,extratrees,8,24,0.07261605618637104,0.018058097619000298,0.08283608765579686,-0.06892587070450189,,,1.0,,
surrogate,0.05,H,qwen_thinking,8,72,0.1438527591113755,0.023090417436603436,0.16349584404752582,0.0007178809099977436,,,,72,1.0
surrogate,0.05,H,qwen_nonthinking,8,72,0.34587369034192794,0.08531452205101388,0.2600101943145571,-0.26443682389630463,,,,72,1.0
surrogate,0.05,B,plugin,8,24,0.3766056345499114,0.06213072366547116,0.27621204181714476,-0.3766056345499114,,,,,
surrogate,0.05,B,shared_mle,8,24,0.15193880140980753,0.05124914540244825,0.14562624944802877,-0.03264498651118691,6,0.25,,,
surrogate,0.05,B,extratrees,8,24,0.10604829629187391,0.02945331835296897,0.11611256552535225,-0.015220891275738505,,,1.0,,
surrogate,0.05,B,qwen_thinking,8,72,0.3345459278905755,0.05157688635174485,0.2673651890231169,-0.26363928686436017,,,,72,1.0
surrogate,0.05,B,qwen_nonthinking,8,72,0.27883022518571354,0.06077287478873144,0.2984394570511234,0.16781775943702873,,,,72,1.0
surrogate,0.1,R,plugin,8,24,0.013507820089404191,0.0034454580798731677,0.016289641534703754,0.0029132417242424703,,,,,
surrogate,0.1,R,shared_mle,8,24,0.03372815995302711,0.007769159228623094,0.02904011289518795,0.028569357194625163,0,0.0,,,
surrogate,0.1,R,extratrees,8,24,0.026726735211505925,0.006956984772148525,0.03161677384803122,-0.019204514240930667,,,0.8333333333333334,,
surrogate,0.1,R,qwen_thinking,8,72,0.015743596578694473,0.004458506778707416,0.012908582003229101,-0.002013394763908286,,,,72,1.0
surrogate,0.1,R,qwen_nonthinking,8,72,0.2904608484887463,0.049059180826080406,0.253764046909659,0.27105623165925097,,,,72,1.0
surrogate,0.1,S1,plugin,8,24,0.07439900653859916,0.04026600325752983,0.06396458729951654,0.07439134751742603,,,,,
surrogate,0.1,S1,shared_mle,8,24,0.1060484439871288,0.04393696514427505,0.08230899938293165,0.1060484439871288,2,0.08333333333333333,,,
surrogate,0.1,S1,extratrees,8,24,0.04597432635260689,0.028431095677428728,0.04270650760034772,0.03303258093771733,,,1.0,,
surrogate,0.1,S1,qwen_thinking,8,72,0.05779835322589868,0.02207150032222948,0.046199681191602934,0.04866488463089247,,,,72,1.0
surrogate,0.1,S1,qwen_nonthinking,8,72,0.292068608486834,0.03516120504585277,0.25970597911003646,0.2474631761036954,,,,72,1.0
surrogate,0.1,H,plugin,8,24,0.10117006756013969,0.03180970274495716,0.17362677808289068,-0.09959854779398937,,,,,
surrogate,0.1,H,shared_mle,8,24,0.06606234630286698,0.016567179021991115,0.060785290757313495,0.030981485145375708,1,0.041666666666666664,,,
surrogate,0.1,H,extratrees,8,24,0.06980110614433338,0.0203632595584655,0.07858499604501565,-0.06432070191609765,,,1.0,,
surrogate,0.1,H,qwen_thinking,8,72,0.15543136608777325,0.02503120495473346,0.16912033994345443,0.024841109531091254,,,,72,1.0
surrogate,0.1,H,qwen_nonthinking,8,72,0.322889755745157,0.08017234796093237,0.25063344503137464,-0.2608430276004713,,,,72,1.0
surrogate,0.1,B,plugin,8,24,0.30584365983024664,0.0503277189450788,0.2404339996467894,-0.30584365983024664,,,,,
