budget,evidence_block,arm,method,sources,planned,valid,missing,empty_observations,expected_coverage,all_arm_budgets_matched,MAE2,MAE2_MCSE,ProfileMAE,ProfileMAE_MCSE,valid_fraction,valid_fraction_MCSE
0.1,dar_a0,B,primary_corrector,2,6,6,0,0,0.10000000000000002,True,0.03978742518113944,0.02303957123315528,0.03224273865919475,0.0041509027734706804,1.0,0.0
0.1,dar_a0,B,median,2,6,6,0,0,0.10000000000000002,True,0.03677670046381365,0.0,0.03508417697610491,0.0,1.0,0.0
0.1,dar_a0,B,extratrees_pooled,2,6,6,0,0,0.10000000000000002,True,0.09490079247492833,0.023812640047866953,0.05398696868198517,0.013234566156609817,1.0,0.0
0.1,dar_a0,B,extratrees_real_only,2,6,6,0,0,0.10000000000000002,True,0.07024127648923423,0.03162964150123214,0.04674418153194144,0.0022355519080659767,1.0,0.0
0.1,dar_a0,B,qwen_thinking,2,18,18,0,0,0.1,True,0.33031680652685635,0.017190171035217465,0.11391559759282599,0.010843545840414151,1.0,0.0
0.1,dar_a0,B,qwen_nonthinking,2,18,18,0,0,0.1,True,0.38818228795240217,0.05937625892102659,0.365832316254065,0.06874442317448443,1.0,0.0
0.1,dar_a08,R,plugin,2,6,6,0,0,0.09962248995983936,True,0.02888393211656668,0.011088636960721602,0.025452909001752077,0.0046056406009858586,1.0,0.0
0.1,dar_a08,R,primary_corrector,2,6,6,0,0,0.09962248995983936,True,0.02888393211656668,0.011088636960721602,0.025452909001752077,0.0046056406009858586,1.0,0.0
0.1,dar_a08,R,median,2,6,6,0,0,0.09962248995983936,True,0.42696058808431453,0.0,0.391531187168607,0.0,1.0,0.0
0.1,dar_a08,R,extratrees_pooled,2,6,6,0,0,0.09962248995983936,True,0.005768981142173539,0.0006875051074877316,0.013969935500077139,0.004147402610067003,1.0,0.0
0.1,dar_a08,R,extratrees_real_only,2,6,6,0,0,0.09962248995983936,True,0.23145533490007353,0.0002149812137725165,0.17928903915906189,0.0003376596317494163,1.0,0.0
0.1,dar_a08,R,qwen_thinking,2,18,18,0,0,0.09962248995983936,True,0.028886224189768914,0.011087785280454173,0.026575637380330454,0.0044924184358359105,1.0,0.0
0.1,dar_a08,R,qwen_nonthinking,2,18,18,0,0,0.09962248995983936,True,0.07386020323630275,0.022098310056656478,0.0942533244418559,0.018597756823004616,1.0,0.0
0.1,dar_a08,S,plugin,2,6,6,0,0,0.09976453203431863,True,0.02408407309388296,0.004025794796733328,0.02693971146037096,0.005280900761629036,1.0,0.0
0.1,dar_a08,S,primary_corrector,2,6,6,0,0,0.09976453203431863,True,0.0235311403584764,0.007103348825257691,0.03027180529454595,0.0050630744859303176,1.0,0.0
0.1,dar_a08,S,median,2,6,6,0,0,0.09976453203431863,True,0.42696058808431453,0.0,0.391531187168607,0.0,1.0,0.0
0.1,dar_a08,S,extratrees_pooled,2,6,6,0,0,0.09976453203431863,True,0.020002543451539827,0.0032226978529218218,0.024172040208388187,0.00634961433492188,1.0,0.0
0.1,dar_a08,S,extratrees_real_only,2,6,6,0,0,0.09976453203431863,True,0.231083260891229,6.791912686135969e-05,0.17893517633006498,0.00010894476974260034,1.0,0.0
0.1,dar_a08,S,qwen_thinking,2,18,18,0,0,0.09976453203431863,True,0.02272960012486188,0.004354503155884987,0.0279721619664504,0.004996226090806341,1.0,0.0
0.1,dar_a08,S,qwen_nonthinking,2,18,18,0,0,0.09976453203431863,True,0.09785822160256691,0.014802153591302223,0.1286676412220152,0.009494108894271587,1.0,0.0
0.1,dar_a08,H,plugin,2,6,6,0,0,0.0998506109163081,True,0.048384212736781715,0.009480054666168402,0.2105466496351742,0.0052659607481440555,1.0,0.0
0.1,dar_a08,H,primary_corrector,2,6,6,0,0,0.0998506109163081,True,0.20371930058004697,0.0023058627724166026,0.19476852892732865,0.0056372416524278065,1.0,0.0
0.1,dar_a08,H,median,2,6,6,0,0,0.0998506109163081,True,0.42696058808431453,0.0,0.391531187168607,0.0,1.0,0.0
0.1,dar_a08,H,extratrees_pooled,2,6,6,0,0,0.0998506109163081,True,0.016805437744669527,0.006379413287907231,0.02405076776045652,0.007374016634811459,1.0,0.0
0.1,dar_a08,H,extratrees_real_only,2,6,6,0,0,0.0998506109163081,True,0.23195242817567335,9.343878061711936e-05,0.1797938586186968,0.00016313596208395023,1.0,0.0
0.1,dar_a08,H,qwen_thinking,2,18,18,0,0,0.09985061091630809,True,0.11581866176771138,0.03282093728836648,0.19549632175894605,0.008390768451347393,1.0,0.0
0.1,dar_a08,H,qwen_nonthinking,2,18,18,0,0,0.09985061091630809,True,0.24248025653197808,0.011900389239031472,0.25450349615463547,0.015663972009923418,1.0,0.0
0.1,dar_a08,B,plugin,2,6,6,0,0,0.10000000000000002,True,0.637605377756518,0.004520936781468555,0.4912218693882384,0.0013803845792689034,1.0,0.0
0.1,dar_a08,B,primary_corrector,2,6,6,0,0,0.10000000000000002,True,0.15925978776100919,0.02266640570257203,0.20269516838112772,0.05358395677775382,1.0,0.0
0.1,dar_a08,B,median,2,6,6,0,0,0.10000000000000002,True,0.42696058808431453,0.0,0.391531187168607,0.0,1.0,0.0
0.1,dar_a08,B,extratrees_pooled,2,6,6,0,0,0.10000000000000002,True,0.01648001715398643,0.006071066756571268,0.050519809289596124,0.014044946443896134,1.0,0.0
0.1,dar_a08,B,extratrees_real_only,2,6,6,0,0,0.10000000000000002,True,0.2855568790056877,0.0011742468503330506,0.2403210095666657,0.0016208850390145785,1.0,0.0
0.1,dar_a08,B,qwen_thinking,2,18,18,0,0,0.1,True,0.5429873105030095,0.06801739107379859,0.44430909369048455,0.034110270477669624,1.0,0.0
0.1,dar_a08,B,qwen_nonthinking,2,18,18,0,0,0.1,True,0.14991886438192042,0.019274700406950007,0.1638703164053964,0.021299008206429312,1.0,0.0
0.1,ad_memoryless,R,plugin,2,6,6,0,0,0.09942284569138277,True,0.005683321681536534,0.0012967728592754631,0.001749420728073642,0.00038791411935412874,1.0,0.0
0.1,ad_memoryless,R,primary_corrector,2,6,6,0,0,0.09942284569138277,True,0.005683321681536534,0.0012967728592754631,0.001749420728073642,0.00038791411935412874,1.0,0.0
0.1,ad_memoryless,R,median,2,6,6,0,0,0.09942284569138277,True,0.29623008533792233,0.0,0.12297808023017381,6.542051911182396e-18,1.0,0.0
0.1,ad_memoryless,R,extratrees_pooled,2,6,6,0,0,0.09942284569138277,True,0.004049119145151738,0.0012361664795186617,0.0014207783305609778,0.0003196561109941086,1.0,0.0
0.1,ad_memoryless,R,extratrees_real_only,2,6,6,0,0,0.09942284569138277,True,0.03298231903090608,0.006925099025623616,0.01376714507866016,0.0023618835496823096,1.0,0.0
0.1,ad_memoryless,R,qwen_thinking,2,18,18,0,0,0.09942284569138277,True,0.005686143089210894,0.001296869053798365,0.0017501972566068287,0.00038789373699341264,1.0,0.0
