group,arm,method,sources,sources_with_valid,planned_answers,completed_answers,valid_answers,validity_of_completed,MAE_2,ProfileMAE,signed_rho_2,draw_clustered_MCSE_2,skill_vs_plugin
synthetic,H,deepseek_flash,8,8,24,24,24,1.0,0.06174329977928236,0.0567478292922642,0.0433875185325628,0.0070021295710400175,0.3484245550020818
synthetic,H,gpt_6_sol,8,8,72,72,72,1.0,0.0360596543354552,0.024819644227025414,0.005698740754785026,0.004873645136165103,0.6194634008210369
synthetic,H,gpt_6_sol_tools,8,8,72,72,72,1.0,0.04117391369789541,0.027880964047813064,0.007731796310340585,0.006669822021428798,0.5654927540977646
synthetic,B,plugin,8,8,24,24,24,1.0,0.4254548529788339,0.2543272105582569,-0.4254548529788339,0.002824613942411471,0.0
synthetic,B,median,8,8,24,24,24,1.0,0.29873223477483635,0.21192999081079672,-0.1506171921058752,6.938893903907228e-18,0.29785209245292577
synthetic,B,mle,8,8,24,24,24,1.0,0.07539139125174263,0.0629796773697444,-0.020634874196259517,0.013358138249143154,0.8227981400990312
synthetic,B,et,8,8,24,24,24,1.0,0.0364539361411566,0.044284385022434425,-0.01896864128325483,0.007467717086515905,0.9143177333953924
synthetic,B,qwen_thinking,8,8,72,72,72,1.0,0.33030821404692307,0.2517852546623235,-0.12909831162692958,0.019552925454493216,0.22363510080032933
synthetic,B,qwen_nonthinking,8,8,72,72,72,1.0,0.3381753572799968,0.3082919318973413,0.16362096297700723,0.03207183411321648,0.2051439655412256
synthetic,B,deepseek_flash,8,8,24,24,24,1.0,0.24516806739541916,0.17938212437814532,-0.04393167008410387,0.04816930629477054,0.42375068546317385
synthetic,B,gpt_6_sol,8,8,72,72,72,1.0,0.12949843018787258,0.10369215545566593,0.05784735186589613,0.01348771211393816,0.6956235678564112
synthetic,B,gpt_6_sol_tools,8,8,72,72,72,1.0,0.10667892551813819,0.09168085928791242,0.045800129643673915,0.007629282025141385,0.7492591169868607
all24,R,plugin,24,24,72,72,72,1.0,0.019292956814218068,0.015359976138179349,-0.0015613254057540184,0.002038765419853927,0.0
all24,R,median,24,24,72,72,72,1.0,0.28459201998378775,0.1899401028585516,-0.0957615112965225,3.3716963797598634e-18,-13.75108365836676
all24,R,mle,24,24,72,72,72,1.0,0.026361262708004245,0.019388413705757092,0.00944802746994988,0.002495464804829806,-0.36636716506705413
all24,R,et,24,24,72,72,72,1.0,0.02012094940402336,0.015952764833019096,-0.003375716896133927,0.0018939789150347762,-0.042916832177590125
all24,R,qwen_thinking,24,24,216,216,216,1.0,0.019482124810923745,0.01629136756945933,-0.0017863285387327897,0.0020303695221352,-0.009805028774348745
all24,R,qwen_nonthinking,24,24,216,216,216,1.0,0.2974538619116873,0.245746831228943,0.2829392641567303,0.013339223673000153,-14.417743624060611
all24,R,deepseek_flash,24,24,72,72,72,1.0,0.01929296369486592,0.01535998585224375,-0.001561343636501588,0.0020387664337073535,-3.5664040098914995e-07
all24,R,gpt_6_sol,24,24,216,216,216,1.0,0.01929250308250439,0.015380240753786191,-0.001563403296973383,0.002038416751574358,2.351799768407492e-05
all24,R,gpt_6_sol_tools,24,24,216,216,216,1.0,0.01959672054963402,0.01543633005367045,-0.0012576705252141222,0.002088093160714601,-0.015744799428156764
all24,S,plugin,24,24,72,72,72,1.0,0.21835021524450485,0.20665324465515597,0.21835021524450485,0.0020123126425325003,0.0
all24,S,median,24,24,72,72,72,1.0,0.28459201998378775,0.1899401028585516,-0.0957615112965225,3.3716963797598634e-18,-0.3033741215464636
all24,S,design,24,24,72,72,72,1.0,0.04163055549749107,0.02567861724618198,0.013553800839313958,0.003957946844934267,0.8093404421384522
all24,S,mle,24,24,72,72,72,1.0,0.03488915530762971,0.030127213254562062,0.024075571871299883,0.003673562789766738,0.8402146969786064
all24,S,et,24,24,72,72,72,1.0,0.03599440193156696,0.024692471035330687,-0.0013394715092400263,0.00346127189190186,0.8351528900886998
all24,S,qwen_thinking,24,24,216,216,215,0.9953703703703703,0.1281015437103555,0.11768695892219223,0.10864757163571759,0.007060059649429115,0.4133207353750048
all24,S,qwen_nonthinking,24,24,216,216,216,1.0,0.41595642013851625,0.38652078593727296,0.3670606144081192,0.014834141054757758,-0.9049966113966745
all24,S,deepseek_flash,24,24,72,72,72,1.0,0.04648140934083105,0.030616696823604992,0.011689172586359951,0.0055670982993376,0.7871245087219998
all24,S,gpt_6_sol,24,24,216,216,216,1.0,0.041146972001991515,0.02499536982485728,0.012856157675248836,0.004045061127310335,0.8115551571317856
all24,S,gpt_6_sol_tools,24,24,216,216,216,1.0,0.038763665746106644,0.02343149366130919,0.01075492415673032,0.004017088576994221,0.8224702196757637
all24,H,plugin,24,24,72,72,72,1.0,0.08751169884436359,0.11744485564173568,-0.08390767464531297,0.0019152615446893309,0.0
all24,H,median,24,24,72,72,72,1.0,0.28459201998378775,0.1899401028585516,-0.09576151129652251,3.3716963797598634e-18,-2.252045426405496
all24,H,mle,24,24,72,72,72,1.0,0.048796705406501585,0.042385833264840723,0.03166967281894418,0.002783454981415519,0.44239791878243884
