case_id,strategy,group_id,plugin_rho_k2,plugin_rho_k3,plugin_rho_k4,plugin_rho_k5,hajek_rho_k2,hajek_rho_k3,hajek_rho_k4,hajek_rho_k5,true_rho_k2,occmle_rho_k2,true_rho_k3,occmle_rho_k3,true_rho_k4,occmle_rho_k4,true_rho_k5,occmle_rho_k5
controlled__sp_hypertext2009__bursty__contiguous__rho0.55__r0|event_sample_then_full_history|ss0|b9600,event_sample_then_full_history,real::sp_hypertext2009,0.4794520547945205,0.1095890410958904,0.0136986301369863,0.00684931506849315,0.24737813227741204,0.03468098050020296,0.003066672860341784,0.002398295442062164,0.2654826958105646,0.5425192608949171,0.052823315118397,0.1421272509743738,0.006375227686703,0.0195546906071074,0.0022768670309653,0.0097073017885129
controlled__sp_hypertext2009__bursty__contiguous__rho0.55__r0|node_panel_full_history|ss0|b2500,node_panel_full_history,real::sp_hypertext2009,0.21076233183856502,0.04484304932735426,0.002242152466367713,0.002242152466367713,0.0803300836602809,0.012075716521432573,0.0005870765637416894,0.0005870765637416894,0.2654826958105646,0.5208020981582722,0.052823315118397,0.1826407916261832,0.006375227686703,0.0154686209980167,0.0022768670309653,0.0154686209980167
controlled__sp_hypertext2009__bursty__contiguous__rho0.55__r0|recent_history_k20|ws0|b800,recent_history_k20,real::sp_hypertext2009,0.0457516339869281,0.0,0.0,0.0,0.019819442326678025,0.0,0.0,0.0,0.2654826958105646,0.1706016695120637,0.052823315118397,1.9196275105538316e-14,0.006375227686703,1.1746272339799737e-15,0.0022768670309653,2.891522905470653e-16
controlled__sp_hypertext2009__bursty__contiguous__rho0.55__r0|time_agnostic_t|ws0|b800,time_agnostic_t,real::sp_hypertext2009,0.022590361445783132,0.0,0.0,0.0,0.012160742910839642,0.0,0.0,0.0,0.2654826958105646,0.1981153779146264,0.052823315118397,0.1010076982800873,0.006375227686703,0.0549714459529637,0.0022768670309653,0.0240811541113668
controlled__sp_hypertext2009__bursty__contiguous__rho0.55__r0|time_respecting|ws0|b800,time_respecting,real::sp_hypertext2009,0.01824817518248175,0.0,0.0,0.0,0.009922249302794329,0.0,0.0,0.0,0.2654826958105646,0.0625806326601831,0.052823315118397,2.235259953175158e-05,0.006375227686703,1.2179459093077478e-08,0.0022768670309653,3.6090460413128974e-11
controlled__sp_primaryschool__bursty__contiguous__rho0.15__r0|event_sample_then_full_history|ss0|b9600,event_sample_then_full_history,real::sp_primaryschool,0.208955223880597,0.014925373134328358,0.014925373134328358,0.0,0.33485247693070613,0.036414807315258514,0.036414807315258514,0.0,0.1500541060478538,0.2132883007872738,0.0173139353132139,0.0170645998721454,0.0063724900805578,0.0170645998721454,0.0,4.2168934774294357e-47
controlled__sp_primaryschool__bursty__contiguous__rho0.15__r0|node_panel_full_history|ss0|b2500,node_panel_full_history,real::sp_primaryschool,0.20689655172413793,0.017241379310344827,0.008620689655172414,0.0,0.11094039151804085,0.0072523581922186026,0.002417452730739534,0.0,0.1500541060478538,0.2879951165581529,0.0173139353132139,0.032958191867378,0.0063724900805578,0.032958191867378,0.0,1.4386451991076171e-28
controlled__sp_primaryschool__bursty__contiguous__rho0.15__r0|recent_history_k20|ws0|b800,recent_history_k20,real::sp_primaryschool,0.019184652278177457,0.0,0.0,0.0,0.009365467101748104,0.0,0.0,0.0,0.1500541060478538,0.0837177561832151,0.0173139353132139,5.544965819367555e-08,0.0063724900805578,1.1325013222083728e-10,0.0,3.401969127545568e-12
controlled__sp_primaryschool__bursty__contiguous__rho0.15__r0|time_agnostic_t|ws0|b800,time_agnostic_t,real::sp_primaryschool,0.0026845637583892616,0.0,0.0,0.0,0.0013914656771799629,0.0,0.0,0.0,0.1500541060478538,0.0636746651079611,0.0173139353132139,0.0274868252699518,0.0063724900805578,0.0142399553429104,0.0,0.006103245438885
controlled__sp_primaryschool__bursty__contiguous__rho0.15__r0|time_respecting|ws0|b800,time_respecting,real::sp_primaryschool,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1500541060478538,1.3742041408557983e-36,0.0173139353132139,9.370219215662081e-45,0.0063724900805578,1.794299599983258e-48,0.0,1.3066402819454348e-50
