substrate,family,rho_target,rep,hub_bias,rho_headline,strategy,walk_seed,budget,n_observed_events,n_restarts,unique_nodes,unique_edges,edge_revisit_rate,deg_mean_visited,deg_max_visited,discovery_rate_first_half,discovery_rate_second_half,return_time_steps_mean,walk_rho_plugin,share_edges_multi_observed,walk_rho_conditional,mean_windows_per_observed_edge,mean_window_gap_revisits,windows_covered_frac,step_dt_mean,step_dt_median
er,er_fam0,0.056968863504984,0,False,0.057,time_respecting,1,800,622,178,443,377,0.3938906752411575,8.383747178329571,16.0,0.6302250803858521,0.5819935691318328,44.673469387755105,0.002652519893899204,0.35543766578249336,0.007462686567164179,1.0026525198938991,1.0,1.0,0.13814810304171996,0.0570691082063427
er,er_fam0,0.056968863504984,0,False,0.057,time_respecting,1,1600,1241,359,667,654,0.47300564061240935,8.344827586206897,16.0,0.6080645161290322,0.44605475040257647,121.89778534923339,0.0061162079510703364,0.41743119266055045,0.014652014652014652,1.007645259938838,2.0,1.0,0.13987703991557857,0.053996791492078366
er,er_fam0,0.056968863504984,0,False,0.057,time_respecting,1,3200,2451,749,885,1046,0.5732354141166871,8.204519774011299,16.0,0.5273469387755102,0.3262642740619902,291.55871886120997,0.0057361376673040155,0.4722753346080306,0.012145748987854251,1.0066921606118546,1.8333333333333333,1.0,0.1358631500511718,0.0517088237530694
er,er_fam0,0.056968863504984,0,False,0.057,recency_biased,0,50,43,7,34,28,0.34883720930232553,9.0,16.0,0.6666666666666666,0.6363636363636364,1.0,0.0,0.42857142857142855,0.0,1.0,,1.0,0.07297653819075292,0.027711264832332216
er,er_fam0,0.056968863504984,0,False,0.057,recency_biased,0,100,84,16,72,57,0.3214285714285714,9.01388888888889,16.0,0.6666666666666666,0.6904761904761905,1.0,0.0,0.3684210526315789,0.0,1.0,,1.0,0.07402975044700802,0.0284409435521617
er,er_fam0,0.056968863504984,0,False,0.057,recency_biased,0,200,170,30,130,109,0.35882352941176465,9.0,16.0,0.6823529411764706,0.6,3.901639344262295,0.009174311926605505,0.4036697247706422,0.022727272727272728,1.0091743119266054,2.0,1.0,0.08118693565642257,0.028506054432605787
er,er_fam0,0.056968863504984,0,False,0.057,recency_biased,0,400,333,67,243,206,0.38138138138138133,8.699588477366255,16.0,0.6445783132530121,0.592814371257485,9.37007874015748,0.009708737864077669,0.39805825242718446,0.024390243902439025,1.0145631067961165,2.0,1.0,0.08362774993597893,0.032857679676736695
er,er_fam0,0.056968863504984,0,False,0.057,recency_biased,0,800,670,130,418,405,0.3955223880597015,8.564593301435407,16.0,0.6149253731343284,0.5940298507462687,35.04528301886793,0.009876543209876543,0.3802469135802469,0.025974025974025976,1.0123456790123457,1.5,1.0,0.07882874652875188,0.03901027841274046
er,er_fam0,0.056968863504984,0,False,0.057,recency_biased,0,1600,1339,261,666,763,0.4301717699775952,8.391891891891891,16.0,0.6053811659192825,0.5343283582089552,109.21006944444444,0.010484927916120577,0.40235910878112713,0.026058631921824105,1.0117955439056356,1.75,1.0,0.08742196850229227,0.04202400691821312
er,er_fam0,0.056968863504984,0,False,0.057,recency_biased,0,3200,2682,518,856,1243,0.5365398956002982,8.217289719626168,16.0,0.56972408650261,0.35719612229679343,287.08617095205005,0.017699115044247787,0.4891391794046661,0.03618421052631579,1.0209171359613838,1.8636363636363635,1.0,0.08398384686300375,0.04155455422971177
er,er_fam0,0.056968863504984,0,False,0.057,recency_biased,1,50,41,9,38,30,0.2682926829268293,8.421052631578947,15.0,0.75,0.7142857142857143,1.0,0.0,0.3,0.0,1.0,,1.0,0.07989603130822076,0.041834628782079775
er,er_fam0,0.056968863504984,0,False,0.057,recency_biased,1,100,86,14,65,53,0.38372093023255816,8.923076923076923,15.0,0.7441860465116279,0.4883720930232558,1.4545454545454546,0.0,0.3584905660377358,0.0,1.0,,1.0,0.06534428174760577,0.014768693869366134
er,er_fam0,0.056968863504984,0,False,0.057,recency_biased,1,200,168,32,132,107,0.36309523809523814,8.825757575757576,15.0,0.6309523809523809,0.6428571428571429,3.5737704918032787,0.0,0.35514018691588783,0.0,1.0,,1.0,0.07172753703499983,0.020271060555733966
er,er_fam0,0.056968863504984,0,False,0.057,recency_biased,1,400,333,67,248,208,0.37537537537537535,8.556451612903226,15.0,0.6385542168674698,0.6107784431137725,12.08,0.004807692307692308,0.3605769230769231,0.013333333333333334,1.0048076923076923,2.0,1.0,0.07679904852053855,0.029988680470147522
er,er_fam0,0.056968863504984,0,False,0.057,recency_biased,1,800,663,137,417,386,0.41779788838612364,8.601918465227818,16.0,0.6253776435045317,0.5391566265060241,40.52346570397112,0.0051813471502590676,0.41450777202072536,0.0125,1.005181347150259,2.0,1.0,0.08016379828180316,0.032924475544782394
er,er_fam0,0.056968863504984,0,False,0.057,recency_biased,1,1600,1329,271,643,709,0.4665161775771257,8.413685847589425,16.0,0.5813253012048193,0.4857142857142857,107.06612903225806,0.00846262341325811,0.4386459802538787,0.01929260450160772,1.008462623413258,1.5,1.0,0.08020529398039529,0.034859378328787494
er,er_fam0,0.056968863504984,0,False,0.057,recency_biased,1,3200,2689,511,862,1222,0.5455559687616214,8.251740139211137,16.0,0.5327380952380952,0.3762081784386617,269.7866394001363,0.02127659574468085,0.5040916530278232,0.04220779220779221,1.0229132569558101,1.6153846153846154,1.0,0.07953835655624839,0.034859378328787494
er,er_fam0,0.056968863504984,1,False,0.057,time_agnostic,0,50,49,1,39,38,0.22448979591836737,9.512820512820513,15.0,0.75,0.8,1.3636363636363635,,,,,,,,
er,er_fam0,0.056968863504984,1,False,0.057,time_agnostic,0,100,99,1,83,84,0.1515151515151515,9.036144578313253,15.0,0.7755102040816326,0.92,1.2666666666666666,,,,,,,,
er,er_fam0,0.056968863504984,1,False,0.057,time_agnostic,0,200,199,1,154,162,0.18592964824120606,8.766233766233766,15.0,0.8484848484848485,0.78,11.27027027027027,,,,,,,,
er,er_fam0,0.056968863504984,1,False,0.057,time_agnostic,0,400,399,1,294,329,0.17543859649122806,8.60204081632653,15.0,0.8140703517587939,0.835,18.82857142857143,,,,,,,,
er,er_fam0,0.056968863504984,1,False,0.057,time_agnostic,0,800,799,1,493,630,0.2115143929912391,8.649087221095336,15.0,0.8245614035087719,0.7525,63.0414201183432,,,,,,,,
er,er_fam0,0.056968863504984,1,False,0.057,time_agnostic,0,1600,1599,1,735,1188,0.25703564727954975,8.38639455782313,16.0,0.7884856070087609,0.6975,237.66423357664235,,,,,,,,
er,er_fam0,0.056968863504984,1,False,0.057,time_agnostic,0,3200,3199,1,910,2014,0.3704282588308847,8.238461538461538,16.0,0.7429643527204502,0.51625,639.9257383966245,,,,,,,,
er,er_fam0,0.056968863504984,1,False,0.057,time_agnostic,1,50,49,1,44,43,0.12244897959183676,9.090909090909092,14.0,0.9166666666666666,0.84,1.0,,,,,,,,
er,er_fam0,0.056968863504984,1,False,0.057,time_agnostic,1,100,99,1,83,83,0.16161616161616166,9.024096385542169,16.0,0.8775510204081632,0.8,1.625,,,,,,,,
er,er_fam0,0.056968863504984,1,False,0.057,time_agnostic,1,200,199,1,158,165,0.17085427135678388,8.879746835443038,16.0,0.8383838383838383,0.82,7.235294117647059,,,,,,,,
er,er_fam0,0.056968863504984,1,False,0.057,time_agnostic,1,400,399,1,288,326,0.18295739348370932,8.840277777777779,16.0,0.8291457286432161,0.805,26.73972602739726,,,,,,,,
er,er_fam0,0.056968863504984,1,False,0.057,time_agnostic,1,800,799,1,497,639,0.20025031289111395,8.824949698189135,16.0,0.8170426065162907,0.7825,75.83125,,,,,,,,
er,er_fam0,0.056968863504984,1,False,0.057,time_agnostic,1,1600,1599,1,709,1141,0.28642901813633526,8.566995768688294,16.0,0.799749687108886,0.6275,250.55240174672488,,,,,,,,
er,er_fam0,0.056968863504984,1,False,0.057,time_agnostic,1,3200,3199,1,891,1982,0.3804313848077524,8.277216610549944,16.0,0.7135709818636647,0.525625,581.4609695973705,,,,,,,,
er,er_fam0,0.056968863504984,1,False,0.057,time_agnostic_t,0,50,49,1,45,45,0.08163265306122447,9.044444444444444,15.0,0.9166666666666666,0.92,1.0,0.0,0.08888888888888889,0.0,1.0,,1.0,,
er,er_fam0,0.056968863504984,1,False,0.057,time_agnostic_t,0,100,99,1,86,87,0.12121212121212122,8.976744186046512,15.0,0.9183673469387755,0.84,1.1666666666666667,0.0,0.12643678160919541,0.0,1.0,,1.0,,
er,er_fam0,0.056968863504984,1,False,0.057,time_agnostic_t,0,200,199,1,155,166,0.16582914572864327,8.92258064516129,15.0,0.8787878787878788,0.79,4.212121212121212,0.0,0.1746987951807229,0.0,1.0,,1.0,,
er,er_fam0,0.056968863504984,1,False,0.057,time_agnostic_t,0,400,399,1,277,327,0.18045112781954886,8.866425992779783,16.0,0.8341708542713567,0.805,27.09722222222222,0.0030581039755351682,0.18654434250764526,0.01639344262295082,1.003058103975535,2.0,1.0,,
er,er_fam0,0.056968863504984,1,False,0.057,time_agnostic_t,0,800,799,1,478,633,0.20775969962453067,8.748953974895397,16.0,0.8195488721804511,0.765,116.24096385542168,0.00631911532385466,0.21800947867298578,0.028985507246376812,1.0063191153238547,2.0,1.0,,
er,er_fam0,0.056968863504984,1,False,0.057,time_agnostic_t,0,1600,1599,1,709,1176,0.26454033771106944,8.530324400564174,16.0,0.7922403003754693,0.67875,279.8037825059102,0.011904761904761904,0.27721088435374147,0.04294478527607362,1.0119047619047619,1.6428571428571428,1.0,,
er,er_fam0,0.056968863504984,1,False,0.057,time_agnostic_t,0,3200,3199,1,896,2018,0.3691778680837762,8.3046875,16.0,0.7354596622889306,0.52625,592.9508890770534,0.010901883052527254,0.39643211100099107,0.0275,1.012388503468781,1.8181818181818181,1.0,,
er,er_fam0,0.056968863504984,1,False,0.057,time_agnostic_t,1,50,49,1,39,41,0.16326530612244894,9.538461538461538,15.0,0.875,0.8,1.0,0.024390243902439025,0.1951219512195122,0.125,1.024390243902439,1.0,1.0,,
er,er_fam0,0.056968863504984,1,False,0.057,time_agnostic_t,1,100,99,1,68,72,0.2727272727272727,9.382352941176471,15.0,0.8367346938775511,0.62,1.8888888888888888,0.013888888888888888,0.3194444444444444,0.043478260869565216,1.0138888888888888,1.0,1.0,,
