stratum,arm,config_id,mock,source,metric,value,MCSE,valid_fraction,limit_fraction,technical_failure_fraction,replacement_fraction,empty_fraction
real,H,qwen_thinking,False,snap_email_eu,ProfileAE,0.1302873306108898,0.01002523147022115,1.0,0.0,0.0,0.0,0.0
real,H,qwen_thinking,False,snap_mathoverflow,ProfileAE,0.06518158466570205,0.024612219034460373,1.0,0.0,0.0,0.0,0.0
real,H,qwen_thinking,False,sp_highschool2013,ProfileAE,0.1107647857224705,0.013699503983229252,1.0,0.0,0.0,0.0,0.0
real,H,qwen_thinking,False,sp_hospital,ProfileAE,0.11828084263974246,0.014968041515849838,1.0,0.0,0.0,0.0,0.0
real,H,qwen_thinking,False,copenhagen_bluetooth,delta_AE2,-0.03299517915705778,0.045092011767932566,1.0,0.0,0.0,0.0,0.0
real,H,qwen_thinking,False,snap_collegemsg,delta_AE2,0.08057845038361462,0.10295015431006538,1.0,0.0,0.0,0.0,0.0
real,H,qwen_thinking,False,snap_email_eu,delta_AE2,0.06376447266337312,0.047711654941606646,1.0,0.0,0.0,0.0,0.0
real,H,qwen_thinking,False,snap_mathoverflow,delta_AE2,0.13137547125573723,0.07155533793955984,1.0,0.0,0.0,0.0,0.0
real,H,qwen_thinking,False,sp_highschool2013,delta_AE2,0.004269805087458533,0.043047061217942675,1.0,0.0,0.0,0.0,0.0
real,H,qwen_thinking,False,sp_hospital,delta_AE2,-0.02054575414307146,0.0211135022554318,1.0,0.0,0.0,0.0,0.0
real,H,qwen_thinking,False,copenhagen_bluetooth,delta_ProfileAE,0.019745658551223188,0.01714818830690648,1.0,0.0,0.0,0.0,0.0
real,H,qwen_thinking,False,snap_collegemsg,delta_ProfileAE,0.047878237844460485,0.04139761784268192,1.0,0.0,0.0,0.0,0.0
real,H,qwen_thinking,False,snap_email_eu,delta_ProfileAE,0.05540324481308689,0.009371184113475891,1.0,0.0,0.0,0.0,0.0
real,H,qwen_thinking,False,snap_mathoverflow,delta_ProfileAE,0.04658699738959267,0.02499281373800386,1.0,0.0,0.0,0.0,0.0
real,H,qwen_thinking,False,sp_highschool2013,delta_ProfileAE,0.023112558486835345,0.015147183364173812,1.0,0.0,0.0,0.0,0.0
real,H,qwen_thinking,False,sp_hospital,delta_ProfileAE,0.011538719428893288,0.007743861328887886,1.0,0.0,0.0,0.0,0.0
real,H,qwen_nonthinking,False,copenhagen_bluetooth,AE2,0.2771247705268452,0.03728548181162954,1.0,0.0,0.0,0.0,0.0
real,H,qwen_nonthinking,False,snap_collegemsg,AE2,0.318078639118558,0.05348159735090058,0.9333333333333333,0.0,0.0,0.06666666666666667,0.0
real,H,qwen_nonthinking,False,snap_email_eu,AE2,0.1395394321932941,0.016747690599839007,0.8666666666666667,0.0,0.0,0.13333333333333333,0.0
real,H,qwen_nonthinking,False,snap_mathoverflow,AE2,0.16067701449070737,0.05850862550011857,0.9333333333333333,0.0,0.0,0.06666666666666667,0.0
real,H,qwen_nonthinking,False,sp_highschool2013,AE2,0.22295265039532486,0.020680081078808678,1.0,0.0,0.0,0.0,0.0
real,H,qwen_nonthinking,False,sp_hospital,AE2,0.23151756511559848,0.027684646983378223,1.0,0.0,0.0,0.0,0.0
real,H,qwen_nonthinking,False,copenhagen_bluetooth,ProfileAE,0.13662015151515147,0.0107378804398033,1.0,0.0,0.0,0.0,0.0
real,H,qwen_nonthinking,False,snap_collegemsg,ProfileAE,0.11418454796027819,0.020190109135799918,0.9333333333333333,0.0,0.0,0.06666666666666667,0.0
real,H,qwen_nonthinking,False,snap_email_eu,ProfileAE,0.10800446901630294,0.004942666054655825,0.8666666666666667,0.0,0.0,0.13333333333333333,0.0
