stratum,arm,config_id,mock,valid_fraction,limit_fraction,technical_failure_fraction,fence_fraction,other_answer_error_fraction,replacement_fraction,started_logical_requests,not_started,in_progress,empty_observations,empty_fraction,complete,AE2,AE2_MCSE,ProfileAE,ProfileAE_MCSE,delta_AE2,delta_AE2_MCSE,delta_ProfileAE,delta_ProfileAE_MCSE
dar_a08,B,deepseek,False,,,,,,,0,30,0,0,0.0,False,,,,,,,,
dar_a08,B,qwen_thinking,False,1.0,0.0,0.0,0.0,0.0,0.0,30,0,0,0,0.0,True,0.3702113571353406,0.0314621019534608,0.3669554873154903,0.01795756357301265,0.17102174130845543,0.031507093697167594,0.19208087703055926,0.019099560414748532
dar_a08,B,qwen_nonthinking,False,0.9,0.0,0.0,0.0,0.1,0.1,30,0,0,0,0.0,True,0.39680815550706616,0.029929457478126337,0.3858648032796571,0.014211801272885679,0.19761853968018095,0.032006313386934694,0.21099019299472593,0.016610368077303893
ad_memoryless,R,sol,False,,,,,,,0,30,0,0,0.0,False,,,,,,,,
ad_memoryless,R,deepseek,False,,,,,,,0,30,0,0,0.0,False,,,,,,,,
ad_memoryless,R,qwen_thinking,False,1.0,0.0,0.0,0.0,0.0,0.0,30,0,0,0,0.0,True,0.00861617074068887,0.0016183087708320704,0.0025031874878567537,0.0004266815763984733,-6.705846687439741e-05,6.53455530631108e-05,2.877111922975787e-06,3.707471393904552e-05
ad_memoryless,R,qwen_nonthinking,False,1.0,0.0,0.0,0.0,0.0,0.0,30,0,0,0,0.0,True,0.04001613014155428,0.03146424292608661,0.010874028022514802,0.008277855640211286,0.03133290093399102,0.0312380588235351,0.008373717646581024,0.008227084253318296
ad_memoryless,S,sol,False,,,,,,,0,30,0,0,0.0,False,,,,,,,,
ad_memoryless,S,deepseek,False,,,,,,,0,30,0,0,0.0,False,,,,,,,,
ad_memoryless,S,qwen_thinking,False,1.0,0.0,0.0,0.0,0.0,0.0,30,0,0,0,0.0,True,0.01591828951487279,0.0041266748625046305,0.004412440004927953,0.0010454854997896774,0.010129631571298646,0.0043825337530777305,0.002793956049701383,0.001139154659837224
ad_memoryless,S,qwen_nonthinking,False,0.7666666666666667,0.0,0.0,0.0,0.23333333333333334,0.23333333333333334,30,0,0,0,0.0,True,0.01908689717769069,0.0032252618620204937,0.005109203447742112,0.0008600200551832969,0.013298239234116545,0.003469233863146242,0.003490719492515542,0.0009178031683003381
ad_memoryless,H,sol,False,,,,,,,0,30,0,0,0.0,False,,,,,,,,
ad_memoryless,H,deepseek,False,,,,,,,0,30,0,0,0.0,False,,,,,,,,
ad_memoryless,H,qwen_thinking,False,1.0,0.0,0.0,0.0,0.0,0.0,30,0,0,0,0.0,True,0.15450420595697856,0.051998519978589425,0.05493730398811837,0.01858404927860032,0.14434578380995036,0.05230192952162853,0.05210089458143469,0.01866689777833062
ad_memoryless,H,qwen_nonthinking,False,0.9666666666666667,0.0,0.0,0.0,0.03333333333333333,0.03333333333333333,30,0,0,0,0.0,True,0.10775797841639329,0.03294531727199769,0.03229492298500274,0.010166128838512112,0.09759955626936512,0.032566383543847735,0.02945851357831905,0.010066728625120138
ad_memoryless,B,sol,False,,,,,,,0,30,0,0,0.0,False,,,,,,,,
ad_memoryless,B,deepseek,False,,,,,,,0,30,0,0,0.0,False,,,,,,,,
ad_memoryless,B,qwen_thinking,False,1.0,0.0,0.0,0.0,0.0,0.0,30,0,0,0,0.0,True,0.05033111285229701,0.03358490803741056,0.02627547274759623,0.020868156772642654,0.03883375228923654,0.03425734999469514,0.023103508392939537,0.0210574605602904
ad_memoryless,B,qwen_nonthinking,False,0.9,0.0,0.0,0.0,0.1,0.1,30,0,0,0,0.0,True,0.02802197223508834,0.004485491693646505,0.008067363007250238,0.0015036615396583628,0.016524611672027845,0.005175512602489161,0.004895398652593549,0.0016277219395731232
ad_memory,R,sol,False,,,,,,,0,30,0,0,0.0,False,,,,,,,,
ad_memory,R,deepseek,False,,,,,,,0,30,0,0,0.0,False,,,,,,,,
ad_memory,R,qwen_thinking,False,1.0,0.0,0.0,0.0,0.0,0.0,30,0,0,0,0.0,True,0.02061332508721678,0.00639372288829193,0.028299191213381154,0.0048410416579782465,-2.8671653454881428e-06,2.8186253004994283e-06,0.001040552015795155,0.001092369572665758
ad_memory,R,qwen_nonthinking,False,0.9,0.0,0.0,0.0,0.1,0.1,30,0,0,0,0.0,True,0.021337783875299644,0.006274317998551425,0.02815444652353341,0.004782626584755293,0.0007215916227373757,0.0007803439600980492,0.0008958073259474165,0.0005454725604724943
ad_memory,S,sol,False,,,,,,,0,30,0,0,0.0,False,,,,,,,,
ad_memory,S,deepseek,False,,,,,,,0,30,0,0,0.0,False,,,,,,,,
