stratum_group,arm,method,budget_fraction,graphs,AE2,AE2_between_graph_se,signed_2,signed_2_between_graph_se,ProfileAE,ProfileAE_between_graph_se,dyad_coverage,dyad_coverage_between_graph_se,window_coverage,window_coverage_between_graph_se,event_coverage,event_coverage_between_graph_se
synthetic,B,reference,0.1,8,0.0981163233937461,0.02951240348590622,0.08770668937318286,0.03332403109228051,0.07612073647700783,0.02909032185501556,0.2948283580455255,0.049216839386951955,0.1604321678832099,0.013397877285004776,0.09989216543153392,0.0003595194214438235
synthetic,B,reference,0.2,8,0.09114711824922474,0.030832681560114386,0.08720569529537484,0.032197177509908435,0.06728409985207073,0.027242132629516788,0.47683385687417695,0.06551405216954348,0.30233254692566797,0.02215912032778573,0.20027592448329223,0.00024347022584365871
synthetic,B,reference,0.3,8,0.08284266647317712,0.030421757680317484,0.07962931736614992,0.031541861030780056,0.06081050672811495,0.0254737769351115,0.6029347195137003,0.06923273078630063,0.4270820335912925,0.02813294565956087,0.29975723999117243,0.0005832086782141487
synthetic,H,plugin,0.02,8,0.03278450360267992,0.005296050506354925,-0.002483843799133371,0.005516423000531694,0.08794807264367488,0.03280776867808511,0.024977721624039127,0.0017054848895470607,0.021781336781574557,0.0005162898001235864,0.020016352532678285,9.223427711529532e-05
synthetic,H,plugin,0.05,8,0.021230894456110032,0.00332479624801941,-0.006320567594869226,0.0031410710179775206,0.0843636058493524,0.032994419628993445,0.06244438097049698,0.0042411531774038105,0.054300393216586196,0.0014623510273236557,0.050274579632009084,0.00010800180647524023
synthetic,H,plugin,0.1,8,0.014785030166414009,0.0022226696447273002,-0.004796338475848997,0.0025076895815750273,0.08068883056806644,0.031935579295767756,0.12468539158596334,0.008390001037925561,0.1088796546573349,0.002960100803024003,0.10029982320936093,0.0003413255390193269
synthetic,H,plugin,0.2,8,0.013817552370248311,0.0025446593428731295,-0.010623176773594756,0.0027946610633572725,0.08300363002222169,0.032869975664357724,0.24935982163492443,0.016780123654805124,0.21612210921223343,0.005334845298217584,0.19946656787404032,0.0003625501122643839
synthetic,H,plugin,0.3,8,0.010082487393830691,0.0017865434586689067,-0.006124382963881382,0.0023508075727941185,0.08078135609811168,0.032538240229266775,0.3740688911901531,0.025164024753972617,0.3258654334719092,0.008218137187705463,0.3004320812032863,0.00016230306575281994
synthetic,H,reference,0.02,8,0.032784381061080545,0.005658623672666995,0.0025645126646642712,0.005435558328776814,0.04117350436609362,0.011439149926006857,0.024977721624039127,0.0017054848895470607,0.021781336781574557,0.0005162898001235864,0.020016352532678285,9.223427711529532e-05
synthetic,H,reference,0.05,8,0.02010798315089226,0.0029563531477529944,-0.0014136212602181022,0.0026167072439497517,0.03306006017223144,0.010613399342852676,0.06244438097049698,0.0042411531774038105,0.054300393216586196,0.0014623510273236557,0.050274579632009084,0.00010800180647524023
synthetic,H,reference,0.1,8,0.01393666692018385,0.002114431180220693,0.0002609134505603898,0.0023142903449241063,0.02792800468263252,0.009874111664680375,0.12468539158596334,0.008390001037925561,0.1088796546573349,0.002960100803024003,0.10029982320936093,0.0003413255390193269
